blockNumber, logIndex, processId, address, productId, state, premiumAmount, sumInsuredAmount, data, createdAt, updatedAt
19136637, 10, 0x704cdfd8443171b1e45ec4932f21936aeb7702ca1ca4e1c778f3a4d1ba433aef, 0xB17a79473aFa8c943f9A90420Cc2f8EE2e943e60, 3, 2, 400, 1999, 0xa57a6cbeaeb17408bb46e2f258d1dbf8346a256f7b68e305a3d29b821e246f5a, 1661502805, 1661503045
19136656, 5, 0xb8a791bead2d2fe74e73a8e221c531c81a53ac7fe0238a60d1745c9ac2720d2a, 0x6b05dbbEC995E39Fb2a1C797bFd433b94003C147, 3, 2, 400, 3000, 0x51a8dcbef824f66e5ba4e2b5166bb21eeaa4f2467576c19e309b212730c2f3f9, 1661502843, 1661502843
19268894, 1, 0x10770a37e5135331f7ef187f016bc2499d6cc3909d993abe100303aa8962d5c1, 0xB17a79473aFa8c943f9A90420Cc2f8EE2e943e60, 3, 2, 5000000, 8000000, 0x3449d30193253b941241122d25632a77245f42f675d48d0883153ca1f39fc808, 1661769901, 1661949531
19347522, 12, 0x97a3348af221a66c7ab004a9005db97b28f131e1bfcfeb4c35f36e73f213bca0, 0x00b6033e4Af7e592Ac7f78277A934e8E2dFCfd40, 3, 2, 4000000, 8000000, 0x614fec042d363cb30baa422780bc68b7e1644a5d51abdaff0f7c8d87b4ba3223, 1661928182, 1661928182
19350149, 6, 0x16064edf2f4eabea320080265827427a201c55467e6bef00e767bcb2f0280cff, 0x00b6033e4Af7e592Ac7f78277A934e8E2dFCfd40, 3, 2, 4000000, 8000000, 0x614fec042d363cb30baa422780bc68b7e1644a5d51abdaff0f7c8d87b4ba3223, 1661933505, 1661933505
19350262, 0, 0xfb21076d32937eebc0d621c9ac664364cdbe9559c3e2eed1e5cc797dc2e0efcd, 0x00b6033e4Af7e592Ac7f78277A934e8E2dFCfd40, 3, 2, 4000000, 8000000, 0x614fec042d363cb30baa422780bc68b7e1644a5d51abdaff0f7c8d87b4ba3223, 1661933734, 1661933734
19350329, 8, 0xd3cbe26523ec978e3d3e23af9d98ef989884df6527c6a5e1a27f4fa301c37fca, 0x00b6033e4Af7e592Ac7f78277A934e8E2dFCfd40, 3, 2, 4000000, 8000000, 0x614fec042d363cb30baa422780bc68b7e1644a5d51abdaff0f7c8d87b4ba3223, 1661933870, 1661933870
19350628, 14, 0x957b75a4ac43abc54b60b6c20e568903940e062c9702d32b3783c3aa84fafaec, 0x00b6033e4Af7e592Ac7f78277A934e8E2dFCfd40, 3, 2, 4000000, 8000000, 0x614fec042d363cb30baa422780bc68b7e1644a5d51abdaff0f7c8d87b4ba3223, 1661934460, 1661934460
19350656, 15, 0xbbaac945758a024642c0c41791dc40a456b3257c22fdeff10fd23f592c351f60, 0x00b6033e4Af7e592Ac7f78277A934e8E2dFCfd40, 3, 2, 4000000, 8000000, 0x614fec042d363cb30baa422780bc68b7e1644a5d51abdaff0f7c8d87b4ba3223, 1661934516, 1661934516
19351264, 16, 0xeb1688b19f12a840e2cd0d29dcbd80f73f9b61e6f1da3859fa4f6de209fd80a7, 0x4173d9B83EE1b291d82260aCABF6302E1b185382, 3, 2, 4000000, 8000000, 0xa002fe60b8446547bc57a9650b902b06fa0fd40c301b13a33786ced2a3945603, 1661935742, 1661935742
19351528, 17, 0x39c2d57bde0b804caffddcc4ba43b329a34f3b575f3b855a4c8889395380d16a, 0xc80473FEe56dCC4A6223d23e795A65cd89c0AE15, 3, 2, 4000000, 8000000, 0x641df307a9b8f2b47119e31459105682152f9ae361fe2adf255ff5bbae837a37, 1661936273, 1661936273
19351862, 6, 0x320a0f71705208d219f6f1fb8f3cbd9943c8b902ef53c25b587eccbbcf32264e, 0xB17a79473aFa8c943f9A90420Cc2f8EE2e943e60, 3, 2, 4000000, 8000000, 0x3449d30193253b941241122d25632a77245f42f675d48d0883153ca1f39fc808, 1661936951, 1661936951
19352697, 36, 0xaf4bfbf5eb26bea598a21a51e5bb970f7b674a62ab139954889134c3ef375753, 0xBE81589Db273060e832fe84f935945ABd5a2caf8, 3, 2, 4000000, 8000000, 0x3449d30193253b941241122d25632a77245f42f675d48d0883153ca1f39fc808, 1661938635, 1661941539
19357779, 166, 0xfbbcb58c0c7ccee0a94847f6f2a8ee9a80d3b4587e2c298f78312b085731d314, 0x5986E5f2140b84d4eB958Ea1193022574925268E, 3, 2, 1500000, 8000000, 0x3449d30193253b941241122d25632a77245f42f675d48d0883153ca1f39fc808, 1661948886, 1661948886
19401398, 5, 0x3461d3831f2229677cf0dd28a3ab0bfb738429957d631eca220eac54286bd38b, 0x1F129a73468C8557764821003D2A49F327E743BD, 3, 2, 1500000, 8000000, 0x3449d30193253b941241122d25632a77245f42f675d48d0883153ca1f39fc808, 1662036647, 1662036647
19401609, 5, 0xa1d5d1f7e6656a41afce62cdf18b1667ab0e918b621ebce7d42ca511ca83563d, 0x32E9c581Dd9FB1Ff647d337B85ceEB99c5017fF9, 3, 2, 1500000, 8000000, 0x3449d30193253b941241122d25632a77245f42f675d48d0883153ca1f39fc808, 1662037069, 1662037069
19405207, 12, 0x5213f2b1a507270dc1a50aabaccbeb6e71fd949db06f747c4ebfbd7e18af320d, 0x4A8cf3b959F8e2bA7141bEF2A2d80F7E3940cd56, 3, 2, 1500000, 8000000, 0x614fec042d363cb30baa422780bc68b7e1644a5d51abdaff0f7c8d87b4ba3223, 1662044270, 1662044270
19405248, 22, 0x26e9b21d765c9e4371bbb234bd79f6485bfa14c22c0c7714963c034b6d727f6c, 0xA4cd0eecfE91b5291A3f6C212c994b7465731e35, 3, 2, 1500000, 8000000, 0x614fec042d363cb30baa422780bc68b7e1644a5d51abdaff0f7c8d87b4ba3223, 1662044354, 1662044354
19409245, 23, 0x443608dfb16235b9dd5b1bb67e7321dd109f9a86d948dc83b86625d3b60166cd, 0x27B5697ed6326A2B1a37bd8C6AE4C1c1BB01DfE1, 3, 2, 1500000, 8000000, 0x614fec042d363cb30baa422780bc68b7e1644a5d51abdaff0f7c8d87b4ba3223, 1662052383, 1662052383
19438003, 0, 0x9ec6cf30fef3be9f28a0abac573500c2de3dbade02e2def79358d57fd3263923, 0x0a28a2D4Da238A6D7BAd32538b75174c6Dbb966A, 3, 2, 1500000, 8000000, 0x3449d30193253b941241122d25632a77245f42f675d48d0883153ca1f39fc808, 1662110448, 1662110448
19438449, 2, 0xb5097516c0b7cedf4d6d3ac204cec2db945220ba921fe41ac5df0cec89c00f3a, 0x5986E5f2140b84d4eB958Ea1193022574925268E, 3, 2, 1500000, 8000000, 0x3449d30193253b941241122d25632a77245f42f675d48d0883153ca1f39fc808, 1662111343, 1662111343
19439211, 8, 0xa8475af8941f35e2bedfa1e610e3b08634edc90f5e059d307177ea76acf0a019, 0xB3a0487Bbff090Bf16001659398eEF087F788785, 3, 2, 1500000, 8000000, 0x114b47857c991ac460276fd8140f91bd633060c200324c112ea9d15eb58694b7, 1662112881, 1662112881
